ID,Placa,Infraccion,Nivel de gravedad,Fecha,Costo,Estado
1,Y8T451,G32,G,08/08/20,396,PENDIENTE
2,K0B887,G32,G,27/09/20,396,PENDIENTE
3,Y5Z570,G32,G,09/04/20,396,PENDIENTE
4,Y5R825,G33,G,02/07/22,396,PENDIENTE
5,L1Y917,G40,G,16/07/20,396,PENDIENTE
6,M3A361,G40,G,24/07/22,396,PENDIENTE
7,Y3A359,G40,G,24/06/20,396,PENDIENTE
8,R1V344,G40,G,05/08/22,396,PENDIENTE
9,O2O374,G47,G,15/06/22,396,PENDIENTE
10,I5C139,G47,G,26/02/20,396,PENDIENTE
11,K2L692,G47,G,04/02/20,396,PENDIENTE
12,X6N581,G56,G,13/03/21,396,PENDIENTE
13,V1O829,G58,G,24/07/20,396,PENDIENTE
14,P6R114,G63,G,26/06/20,396,PENDIENTE
15,E9V906,G64,G,05/08/20,396,PENDIENTE
16,Z5S950,L01,L,05/10/20,198,PENDIENTE
17,E2M853,L05,L,03/04/21,198,PENDIENTE
18,B6D160,L06,L,22/06/22,198,PENDIENTE
19,O9M137,L07,L,12/01/21,198,PENDIENTE
20,N0K432,L07,L,22/12/20,198,PENDIENTE
21,V0W169,M01,M,04/07/21,4950,PENDIENTE
22,H8X210,M02,M,15/01/20,2475,PENDIENTE
23,Y3M488,M03,M,26/12/22,2475,PENDIENTE
24,R3W714,M03,M,26/01/21,2475,PENDIENTE
25,H8O564,M03,M,28/04/20,2475,PENDIENTE
26,F3B371,M08,M,08/07/22,1188,PENDIENTE
27,V8M574,M11,M,09/05/21,594,PENDIENTE
28,T5L259,M27,M,02/10/20,2475,PENDIENTE
29,C7C101,M27,M,30/03/21,2475,PENDIENTE
30,I6O500,M35,M,19/01/22,594,PENDIENTE
31,Z1J858,G40,G,04/06/22,396,PENDIENTE
32,T2P972,G40,G,23/04/23,396,PENDIENTE
33,O2S122,G40,G,03/06/23,396,PENDIENTE
34,Z1N697,G54,G,01/01/23,396,PENDIENTE
35,Q3Q131,G31a,G,31/07/22,396,PENDIENTE
36,A0V730,G46,G,15/05/21,396,PENDIENTE
37,J4K956,G52,G,28/05/23,396,PENDIENTE
38,D2B568,G72a,G,25/03/21,396,PENDIENTE
39,F1W421,L07,L,11/02/20,198,PENDIENTE
40,J0S450,M01,M,18/06/22,4950,PENDIENTE
41,Z5R782,M04,M,21/01/23,4950,PENDIENTE
42,W8I107,M05,M,20/04/20,2475,PENDIENTE
43,H6T921,M19,M,12/12/20,594,PENDIENTE
44,Z6Z501,M24,M,09/02/22,594,PENDIENTE
45,N8J679,M24,M,11/06/21,594,PENDIENTE
46,Z1Y727,M27,M,24/06/20,2475,PENDIENTE
47,G2S931,M02,M,25/03/23,2475,PENDIENTE
48,B0E896,M02,M,13/12/22,2475,PENDIENTE
49,E3G156,M02,M,14/05/23,2475,PENDIENTE
50,C5R319,M03,M,06/10/20,2475,PENDIENTE
51,V7G462,M03,M,04/02/21,2475,PENDIENTE
52,U0V706,M03,M,19/12/22,2475,PENDIENTE
53,O0U178,M03,M,09/09/22,2475,PENDIENTE
54,Y9M162,G02,G,12/05/23,396,PENDIENTE
55,Y2U347,G08,G,13/05/23,396,PENDIENTE
56,J7H168,G08,G,19/08/21,396,PENDIENTE
57,W3A882,G09,G,20/07/22,396,PENDIENTE
58,R9V168,G12,G,02/04/22,396,PENDIENTE
59,H7N908,M11,M,03/03/21,594,PENDIENTE
60,P4T272,M18,M,10/06/22,594,PENDIENTE
61,K3H576,M19,M,16/07/21,594,PENDIENTE
62,E8N388,M21,M,03/06/23,594,PENDIENTE
63,Z5W673,M36,M,02/05/20,594,PENDIENTE
64,Q7B304,G57,G,14/12/21,396,PENDIENTE
65,N2Y450,G57,G,08/09/21,396,PENDIENTE
66,X3F413,G57,G,28/11/22,396,PENDIENTE
67,P0Y500,G57,G,21/08/20,396,PENDIENTE
68,M0X607,G58,G,04/10/20,396,PENDIENTE
69,C5U750,L07,L,24/03/22,198,PENDIENTE
70,M4H535,L08,L,04/08/21,198,PENDIENTE
71,Z6G968,G61,G,18/04/20,396,PENDIENTE
72,C8M325,M01,M,07/12/20,4950,PENDIENTE
73,Z3W806,M01,M,08/07/21,4950,PENDIENTE
74,K4V125,M01,M,26/09/22,4950,PENDIENTE
75,S1N395,M20c,M,28/01/20,2475,PENDIENTE
76,B3L307,G28,G,26/09/22,396,PENDIENTE
77,Y1G381,G33,G,13/03/20,396,PENDIENTE
78,X3Z668,G35,G,17/05/20,396,PENDIENTE
79,O2S259,G36,G,16/06/20,396,PENDIENTE
80,H1H566,G37,G,08/03/20,396,PENDIENTE
81,V4O697,G46,G,04/08/21,396,PENDIENTE
82,D7A481,G58,G,26/03/21,396,PENDIENTE
83,X7C907,G58,G,18/06/21,396,PENDIENTE
84,Z5C164,L01,L,14/09/20,198,PENDIENTE
85,F0B447,L01,L,19/07/22,198,PENDIENTE
86,D8J468,L01,L,17/11/22,198,PENDIENTE
87,V8W135,L01,L,16/02/22,198,PENDIENTE
88,T9M461,L01,L,05/11/21,198,PENDIENTE
89,H1W556,L04,L,18/03/22,198,PENDIENTE
90,Q7Y249,L04,L,02/04/22,198,PENDIENTE
91,Q2H487,L04,L,25/09/20,198,PENDIENTE
92,V6J628,M03,M,02/02/22,2475,PENDIENTE
93,L5L209,M04,M,16/09/22,4950,PENDIENTE
94,E1K660,M11,M,29/11/22,594,PENDIENTE
95,O9Z849,M17,M,12/03/23,594,PENDIENTE
96,F4L103,M17,M,26/01/23,594,PENDIENTE
97,J1G589,M17,M,21/03/22,594,PENDIENTE
98,Q9S608,M20c,M,15/04/23,2475,PENDIENTE
99,Q2M197,G52,G,12/10/22,396,PENDIENTE
100,I3T526,G56,G,11/01/20,396,PENDIENTE
101,H0R453,G57,G,06/07/22,396,PENDIENTE
102,B8T653,G57,G,15/07/20,396,PENDIENTE
103,B6C105,G57,G,30/12/22,396,PENDIENTE
104,I9T473,G63,G,06/03/21,396,PENDIENTE
105,R9I169,G65,G,26/04/21,396,PENDIENTE
106,S4O671,G72a,G,01/05/23,396,PENDIENTE
107,W1N580,L01,L,02/12/20,198,PENDIENTE
108,P0L638,M01,M,16/02/23,4950,PENDIENTE
109,O1Z405,M02,M,01/09/22,2475,PENDIENTE
110,B6W203,M03,M,10/11/21,2475,PENDIENTE
111,J6Z145,M21,M,21/03/23,594,PENDIENTE
112,W2O950,G06,G,15/09/21,396,PENDIENTE
113,V8D274,G07,G,19/01/21,396,PENDIENTE
114,A1C187,G18b,G,24/12/20,396,PENDIENTE
115,I7Q698,G20,G,12/06/23,396,PENDIENTE
116,T4B967,G31b,G,11/08/22,396,PENDIENTE
117,C1R161,G40,G,17/06/23,396,PENDIENTE
118,A0G901,G41,G,26/02/20,396,PENDIENTE
119,G6Z497,G44,G,08/12/20,396,PENDIENTE
120,K5Z266,G47,G,21/09/22,396,PENDIENTE
121,D2Y218,G47,G,11/03/23,396,PENDIENTE
122,M6F599,G47,G,01/06/23,396,PENDIENTE
123,A2Z655,G56,G,22/02/23,396,PENDIENTE
124,C5Y209,G59,G,23/01/20,396,PENDIENTE
125,Q1B637,G64,G,26/05/21,396,PENDIENTE
126,J9F824,L04,L,23/06/20,198,PENDIENTE
127,B0H845,L05,L,07/12/20,198,PENDIENTE
128,B1Z422,L06,L,13/08/20,198,PENDIENTE
129,V7T730,L06,L,29/10/21,198,PENDIENTE
130,Q4E472,L07,L,12/05/21,198,PENDIENTE
131,U8C757,M01,M,22/11/21,4950,PENDIENTE
132,Z2A968,M01,M,29/06/20,4950,PENDIENTE
133,L2S944,M20a,M,19/06/20,891,PENDIENTE
134,C0Y507,M20b,M,24/04/22,1188,PENDIENTE
135,J7U552,G25,G,08/01/21,396,PENDIENTE
136,P2L654,G07,G,23/09/20,396,PENDIENTE
137,B6A941,G08,G,24/02/23,396,PENDIENTE
138,U6F241,G08,G,28/06/20,396,PENDIENTE
139,S5M475,G10,G,15/07/21,396,PENDIENTE
140,D4J967,G11,G,12/07/20,396,PENDIENTE
141,U8B515,G15,G,10/01/22,396,PENDIENTE
142,M8I650,G16,G,26/09/22,396,PENDIENTE
143,T9L546,G23,G,18/11/22,396,PENDIENTE
144,Q4H834,G30,G,29/06/22,396,PENDIENTE
145,Y2N764,G46,G,22/01/20,396,PENDIENTE
146,Q7M518,G46,G,10/05/23,396,PENDIENTE
147,X6C907,G46,G,19/12/22,396,PENDIENTE
148,Y9R360,G47,G,25/07/20,396,PENDIENTE
149,W6B560,G47,G,26/04/20,396,PENDIENTE
150,O7T703,G52,G,27/03/20,396,PENDIENTE
151,J7Z700,G57,G,30/06/23,396,PENDIENTE
152,H1M963,G57,G,29/10/22,396,PENDIENTE
153,J7F970,G57,G,25/11/22,396,PENDIENTE
154,V0T641,G58,G,19/07/21,396,PENDIENTE
155,Y7P866,G60,G,13/04/20,396,PENDIENTE
156,Q9P365,G64,G,21/03/20,396,PENDIENTE
157,U8I609,L01,L,26/10/21,198,PENDIENTE
158,B1R657,L01,L,01/08/22,198,PENDIENTE
159,P4C480,L06,L,23/07/22,198,PENDIENTE
160,O7X623,G25,G,26/04/21,396,PENDIENTE
161,V3U373,G25,G,25/06/23,396,PENDIENTE
162,V8R133,G25,G,16/09/21,396,PENDIENTE
163,Q0X102,G25,G,22/03/22,396,PENDIENTE
164,C6A133,M04,M,26/06/22,4950,PENDIENTE
165,D7X444,M04,M,05/08/21,4950,PENDIENTE
166,Y8T909,M16,M,04/06/23,594,PENDIENTE
167,R4B261,M22,M,23/06/22,594,PENDIENTE
168,I9H228,G30,G,23/02/20,396,PENDIENTE
169,F4I867,M29,M,05/07/22,594,PENDIENTE
170,T7V556,M03,M,01/05/20,2475,PENDIENTE
171,U2R839,M03,M,23/11/21,2475,PENDIENTE
172,X8O498,M03,M,08/04/22,2475,PENDIENTE
173,N4O429,M04,M,05/08/20,4950,PENDIENTE
174,Y7K516,M05,M,15/07/20,2475,PENDIENTE
175,M3M187,M05,M,18/10/22,2475,PENDIENTE
176,T1A258,M18,M,29/04/23,594,PENDIENTE
177,C8W643,M19,M,27/11/20,594,PENDIENTE
178,C6T444,M27,M,12/12/21,2475,PENDIENTE
179,T6D393,M27,M,09/05/21,2475,PENDIENTE
180,C4L211,M35,M,31/05/21,594,PENDIENTE
181,H1C752,M35,M,29/05/21,594,PENDIENTE
182,K1N120,M20b,M,02/10/22,1188,PENDIENTE
183,Q9V357,M20b,M,13/04/23,1188,PENDIENTE
184,G8P606,G04,G,14/10/20,396,PENDIENTE
185,A1F471,G05,G,22/06/22,396,PENDIENTE
186,E5N170,L05,L,24/03/23,198,PENDIENTE
187,L8T443,L06,L,31/03/20,198,PENDIENTE
188,Q7V179,L06,L,28/01/21,198,PENDIENTE
189,S7C457,L07,L,14/04/20,198,PENDIENTE
190,P5T595,L07,L,03/02/20,198,PENDIENTE
191,J2P699,L07,L,12/05/21,198,PENDIENTE
192,R5R819,L07,L,22/03/22,198,PENDIENTE
193,C3G311,L07,L,27/07/20,198,PENDIENTE
194,M8P246,G05,G,14/09/21,396,PENDIENTE
195,M0P265,G05,G,22/02/22,396,PENDIENTE
196,R2N978,G15,G,15/09/22,396,PENDIENTE
197,O7V727,G16,G,17/05/22,396,PENDIENTE
198,C8G953,G16,G,10/02/23,396,PENDIENTE
199,I3F415,G17,G,22/07/22,396,PENDIENTE
200,G3M748,G19,G,03/07/20,396,PENDIENTE
